"identifiantUnique","nombreAbonnes"
"UCQKZ4Q-ri4n-Y1OZuKiuMHw",355000
"UC9Fj-4oQzaEPkg-XHjqZE0g",1310000
"UCZ7HzTBmljSCMBNRoNgHuJA",8000000
"UCSt7m67E9O8xONdHsNIy39A",625000
"UC1jye2Z_MTCVUySI0U-IOxQ",15100
"UCv3mh2P-q3UCtR9-2q8B-ZA",2910000
"UCfsxF8I8n0eoSf0m3Sac-uA",15600
"UCofXFskZSRZV7ehHPhOlfiA",2420000
"UCpuT8AlP9P9EgW_pZ0_xInQ",11300000
"UCMLxkJhT13-jftyvbks6P2Q",1740000
"UC73sF-7Ihcs1HpnXEEXZ2ew",5600000
"UCy_WCbqwp5ZZ4zNwAyMChiA",9330000
"UCflwsPQyJEe0vYimyKEE0tQ",939000
"UCSgue5Dm418CCUCZ-aeUtEA",7550000
"UCb_H5yKlOg4Ial6q19qEqzg",52000
"UCKHQ4ovBkrlTXQmeowQ1Kwg",246000
"UCQNDoTI2g7_daH6zL_9rvWg",6790000
"UCfcxY_xh3V6engDMFhxlqZA",1500000
